comp1,comp2,label
1.5101881,4.495065,4
-0.3933316,-2.2554176,2
0.52394176,-2.9038317,2
2.4056387,0.77142346,1
-2.5902762,-1.8893213,5
-0.74589753,1.5878414,3
0.8318154,-0.4103697,2
0.34786895,-1.8117441,4
2.3835487,4.318263,4
-0.3787896,-4.135516,3
3.2163546,5.402535,4
0.5341209,5.0063424,4
0.89254034,4.400904,4
-1.656523,2.1570492,3
-3.2748675,2.4115992,0
2.8672967,-3.676628,3
-1.3153446,-2.1818364,1
1.0054144,4.390404,4
1.8168291,1.1770047,2
0.76507306,6.1616173,4
-0.49324757,6.2095857,4
-3.162166,0.24230962,0
1.5632206,-4.763572,2
1.8031838,6.2502847,4
3.5639775,1.767928,3
2.3249142,-0.15714957,3
1.7055893,-0.13778462,3
0.54223424,-3.003455,2
-1.6626078,0.019098945,0
3.7204676,1.27804,4
1.3868074,3.1736996,4
4.626502,2.9895117,5
4.696998,2.8944385,3
1.0404147,-1.9515623,3
1.3718221,-2.971115,2
0.6894906,0.009133104,4
-0.1307336,3.0051074,4
5.049547,2.263709,5
1.3352714,1.7750269,4
1.4816992,-0.7883667,3
1.4545481,4.662686,4
0.4226452,3.014158,4
4.5490437,2.8662355,5
2.2125058,5.7547464,4
-0.37885958,-4.1601686,2
2.3321443,5.858597,4
-1.1603732,4.812996,4
1.7759684,6.2963586,4
-0.888699,-1.167935,1
-0.095026165,3.3652947,4
2.1118777,0.48901525,1
1.1477724,4.7958536,4
0.6449028,5.7658772,4
2.5158465,1.0103787,2
1.0227262,3.9552596,4
0.6568303,-0.85841054,3
2.682119,-0.10533583,3
0.74031484,-2.2858624,2
2.2808557,1.9986703,2
3.2821474,4.4119973,4
0.50157744,5.471963,4
1.7450765,3.6910849,4
0.57082915,-3.6582186,4
0.13781954,2.9807549,4
1.1946306,1.9013741,4
1.7125676,4.1794176,4
1.5976152,-4.7664027,2
0.5621281,-0.36612472,2
2.1128943,-1.2529416,3
-0.31712303,6.1162663,4
1.5999631,-4.574456,2
3.268929,-2.2805533,3
0.25298434,7.0190296,4
-1.2386158,3.6524582,4
1.415569,-1.9948009,3
0.74852866,4.4513483,4
2.8801239,-0.47517234,3
1.90242,-4.3635006,2
-0.47315505,3.5791438,4
1.7406431,-2.6678386,3
2.8828657,-1.191081,2
2.6082125,-0.689917,3
0.5145958,-1.9267303,4
1.7248077,4.874167,4
2.1030462,-4.008344,3
0.6276892,4.4411964,4
2.5545468,-3.0187035,3
1.2548301,6.7241035,4
1.4714354,-1.2873316,3
1.3583132,7.321828,4
1.3843259,3.8232226,4
-0.39022872,-1.3122697,1
2.5892453,-1.7369263,3
2.0650315,5.131905,4
0.98186725,-0.36487293,4
-1.1957767,-3.1686027,4
-3.0342572,0.195266,0
0.4860978,4.382869,4
2.9817662,-1.9792199,3
0.84623176,1.1616589,4
1.6948582,-0.8538809,3
2.0515318,-2.5742905,3
2.9723444,0.18139704,3
1.5004882,0.80931765,5
4.290276,-0.50611466,2
-3.2276297,0.50961214,0
2.1846867,-3.430462,3
3.0711389,0.35441476,3
2.0053482,-1.3112833,1
0.17116891,-5.029299,1
0.549146,1.560963,4
-0.5957493,-2.5839539,2
2.0564013,-2.3942108,3
-3.144166,2.5521624,0
1.5720973,-0.86934096,3
1.0184284,5.4705715,4
2.0705602,-4.5468125,2
-0.52004045,4.5660386,4
0.44590837,0.5582292,2
-3.3345208,-0.6458832,0
2.4140093,-0.48464152,3
1.8866276,4.821746,4
-0.13632621,-0.32241765,4
1.2331368,-0.96999186,3
4.299138,-3.7580109,2
0.565723,0.58687544,2
